Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#,Serial #,Crash Month,Crash Day,Crash Year,Week Day Code,Crash Hour,County Code,City Section ID,Urban Area Code,Functional Class Code,NHS Flag,Highway Number,Highway Suffix,Roadway Number,Highway Component,Mileage Type,Connection Number,Linear Reference System (LRS),Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Degrees,Longitude Minutes,Longitude Seconds,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Special Jurisdiction,Jurisdiction Group,Street Number,Nearest Intersecting Street Number,Intersection Sequence Number,Distance from Intersection,Direction From Intersection,Milepoint,Posted Speed Limit,Road Character,Off Roadway Flag,Intersection Type,Intersection Related Flag,Roundabout Flag,Driveway Related Flag,Number of Lanes,Number of Turning Legs,Median Type,Impact Location,Crash Type,Collision Type,Crash Severity,Weather Condition,Road Surface Condition,Light Condition,Traffic Control Device (TCD),TCD Functional Flag,Investigating Agency,Crash Level Event 1 Code,Crash Level Event 2 Code,Crash Level Event 3 Code,Crash Level Cause 1 Code,Crash Level Cause 2 Code,Crash Level Cause 3 Code,School Zone Indicator,Work Zone Indicator,Secondary Crash Indicator,Alcohol-Involved Flag,Drugs Involved Flag,Crash Marijuana Involved Flag,Speed Involved Flag,Crash Level Hit & Run Flag,Population Range Code,Road Control,Route Type,Route Number,Region ID,District ID,Segment Marker ID,Segment Point LRS Measure,Unlocatable Flag,Total Vehicle Count,Total Fatality Count,Total Suspected Serious Injury (A) Count,Total Suspected Minor Injury (B) Count,Total Possible Injury (C) Count,Total Non-Fatal Injury Count,Total Un-Injured  Children Age 00-04,Total Un-Injured Persons,Total Pedestrian Count,Total Pedestrian Fatality Count,Total Pedestrian Non-Fatal Injury Count,Total Pedalcyclist Count,Total Pedalcyclist Fatality Count,Total Pedalcyclist Non-Fatal Injury Count,Total Unknown Non-Motorist Count,Total Unknown Non-Motorist Fatality Count,Total Unknown Non-Motorist Injury Count,Total Vehicle Occupant Count,Total Count of Persons Involved,Total Persons Using Safety Equipment  ,Total Persons Not Using Safety Equipment,Total Persons Safety Equipment Use Unknown,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 1 Code,Participant Cause 2 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code,BAC Test Results Code,Alcohol Use Reported,Drug Use Reported,Participant Marijuana Use Reported,Participant Striker Flag
1809119,1,,,,,,99992.0,3.0,14.0,2019.0,5.0,14.0,26.0,0.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,27.0,40.62,-122.0,22.0,59.23,0.0,,,,,,9.0,16.77,55.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,2.0,B,6,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,,8.0,US,26.0,1.0,02C,293_10835,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809229,1,,,,,,2405.0,3.0,3.0,2019.0,1.0,2.0,3.0,185.0,68.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,24.0,20.47,-122.0,17.0,37.3,0.0,,1504.0,426,1.0,,4.0,22.59,50.0,3.0,0.0,,0.0,0.0,0.0,4.0,,1.0,0.0,3,0,2.0,1.0,1.0,3.0,0.0,1.0,3.0,,,,18.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,US,26.0,1.0,02C,293_8495,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809637,1,,,,,,1811.0,5.0,17.0,2019.0,6.0,99.0,3.0,0.0,0.0,2.0,1.0,26.0,,1.0,6.0,0.0,1.0,0026BG100S00,45.0,17.0,0.84,-121.0,42.0,58.38,0.0,,,,,,0.0,57.56,55.0,7.0,1.0,,0.0,0.0,0.0,1.0,,0.0,5.0,8,9,2.0,2.0,1.0,1.0,99.0,1.0,1.0,62.0,10.0,,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,,,1.0,02C,293_6389,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810874,1,,,,,,99981.0,4.0,7.0,2019.0,1.0,0.0,26.0,245.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,29.0,50.6,-122.0,33.0,59.51,0.0,,1940.0,9715,1.0,,7.0,5.69,35.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,6.0,3,0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,,,,4.0,19.0,,0.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,US,26.0,1.0,02B,293_12196,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812266,1,,,,,,5970.0,7.0,8.0,2019.0,2.0,14.0,26.0,245.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,29.0,52.99,-122.0,30.0,38.24,0.0,,1940.0,5148,1.0,,9.0,8.55,35.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,B,1,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,4.0,1.0,33.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,2.0,US,26.0,1.0,02B,293_18831,,0.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815964,1,,,,,,99980.0,10.0,28.0,2019.0,2.0,6.0,26.0,83.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,28.0,36.69,-122.0,23.0,48.47,0.0,,1020.0,1534,1.0,,9.0,15.44,55.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,4.0,H,6,2.0,1.0,1.0,3.0,2.0,1.0,3.0,10.0,,,2.0,,,,,0.0,1.0,0.0,0.0,8.0,4.0,US,26.0,1.0,02C,293_763,,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816804,1,,,,,,4207.0,11.0,23.0,2019.0,7.0,19.0,3.0,0.0,0.0,2.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,22.0,0.53,-122.0,8.0,39.35,0.0,,,,,,0.0,30.93,55.0,7.0,1.0,,0.0,0.0,0.0,4.0,,1.0,1.0,8,9,2.0,1.0,1.0,3.0,99.0,1.0,1.0,96.0,10.0,1.0,30.0,,,,,1.0,1.0,1.0,0.0,,5.0,US,26.0,1.0,02C,293_14987,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826266,1,,,,,,110.0,1.0,11.0,2019.0,6.0,12.0,3.0,0.0,0.0,2.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,17.0,2.03,-121.0,43.0,22.64,0.0,,,,,,0.0,56.1,55.0,3.0,0.0,,0.0,0.0,0.0,3.0,,0.0,3.0,G,2,4.0,2.0,1.0,1.0,0.0,1.0,1.0,,,,27.0,5.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,US,26.0,1.0,02C,293_10845,,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826321,1,,,,,,207.0,1.0,18.0,2019.0,6.0,21.0,3.0,0.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,26.0,40.55,-122.0,21.0,38.88,0.0,,,,,,9.0,18.35,55.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,H,6,4.0,3.0,2.0,3.0,0.0,1.0,1.0,,,,2.0,8.0,,,,0.0,0.0,0.0,0.0,,8.0,US,26.0,1.0,02C,293_6833,,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826490,1,,,,,,97.0,4.0,15.0,2019.0,2.0,21.0,14.0,0.0,0.0,2.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,38.0,29.24,-121.0,30.0,51.65,0.0,,,,,,0.0,96.72,55.0,5.0,1.0,,0.0,0.0,0.0,2.0,,0.0,6.0,&,8,4.0,1.0,2.0,3.0,99.0,1.0,1.0,124.0,79.0,10.0,33.0,30.0,,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,OR,35.0,1.0,02C,293_10891,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
